id,language,claim,gold_evidence,gold_label,raw_response,predicted_label,correct
afrifact_data_culture_hausa_657,hausa,Shugaba Muhammadu Buhari ya kaddamar da eNaira a ranar 20 ga watan Yunin 2016.,"An samo sunan “Naira” daga kalmar “Nigeria” ta Obafemi Awolowo.Sai dai kuma, Naira a matsayin kudin da Shehu Shagari ya kaddamar a matsayin ministan kudi a shekarar 1973. Babban bankin Najeriya ya yi ikirarin cewa sun yi yunkurin shawo kan hauhawar farashin kayayyaki a duk shekara kasa da kashi 10%.",nei,nei,nei,True
afrifact_data_culture_igbo_058,igbo,Ngagharị iwe a bụ ụzọ e si edozi esemokwu.,Ọ bụ nnukwu nnupụisi mbụ ụmụ nwanyị mere na West Africa.,nei,nei,nei,True
afrifact_data_culture_igbo_749,igbo,Ihe isi ike anaghị emetụta ihe ndị e ji alụ ụm̀ụ nwaanyị Igbo. Ụmụ ntorobịa Igbo kwuru na ha zuru ka emee.,"Ndị ntorobia Igbo: Belatanụ Ihe eji alụ nwaanyị Ndị ntorobia Igbo akpola oku ka obodo dị n'Igbo wedata ihe ndị ọ na-eri iji lụọ nwaanyị n'ala igbo. Ndị ntorobịa kwuru a nke na mkparịtaụka BBC hiwere na Facebook ụbọchị Fraide rụtụ®ụaka na ihe isi ike, ihe ilụnwaanyị na-erị nakwa oke mgbuchi nne nna na Igbo na-egbuchi ụmụ ha ndị nwaanyị so 'ihe na akpata alụghhị di maọbụ nwaanyị n'oge.",refutes,refutes,refutes,True
afrifact_data_culture_igbo_384,igbo,"N'ịgbado ụkwụ n'oke ala nakwa ngwaahịa, Ahịa Main Market Ọnicha bụ otu n'ime ahịa kacha bu ibu n'ọdịda anyanwụ Afịrịka",Ahịa Ọnicha nke a makwaara dị ka Onitsha Main Market na bekee bụ otu n'ime ahịa kacha ibu na ọdịda anyanwụ Afrịka dabere na nha ala na oke ngwongwo ahịa a n'ere ebe ahụ.,supports,supports,supports,True
afrifact_data_culture_yoruba_723,yoruba,"Abíọ́lá ní ìfẹ́ sí ìṣèlú látìgbà tí ó wà ní ọmọ ọdún mọ́kàndínlógún, ó sì bẹ̀rẹ̀ sí í kópa ní ẹgbẹ́ òṣèlú látàrí ìfẹ́ tí ó ní sí i.rẹ̀ sí i.","Abíọ́́lá jẹ́ Olóòtú ìwé ìròyìn ọ̀sọ̀ọ̀sẹ̀ ilé-ìwé wọn tí ó ń jẹ́ tí sì jẹ́ igbákejì rẹ. Ó dára pọ̀ mọ́ ẹgbẹ́ ní ìgbà tí ó di ọmọ ọdún mọ́kàndínlógún nítorí ìfẹ́ tí ó ní sí ètò òṣèlú àwa arawa ó darapọ́ mọ́ ẹgbẹ́ òṣèlú jẹ́ olùdásílẹ̀ rẹ̀ Ní ọdún 1960, Moshood jẹ àǹfàníi ẹ̀kọ́ ọ̀fẹ́ ti ijọba láti lọ ka ìwé ní University ti Glasgow ní ìlú Scotland ni ibi tí ó ti gba oyè nínú ìmọ̀ ìṣirò.",supports,supports,supports,True
afrifact_data_culture_hausa_081,hausa,Rabiu Musa Kwankwaso ne ya naɗa Sunusi Lamido Sunusi sarautar Kano bayan mutuwar Ado Bayero.,"Ado Bayero ya kasance kafin ya zama sarkin kano shahararren ɗan kasuwa ne, kuma yayi aikin banki, tsohon ɗan sanda ne kuma Sannan yayi aiki a matsayin jakadan [Nijeriya]",nei,nei,nei,True
afrifact_data_culture_igbo_141,igbo,Akwa mmiri ahụ adaala.,"Dịka ọ dị ugbua, amabeghi ihe ha kpatara na nzukọ a.",nei,nei,nei,True
afrifact_data_culture_hausa_389,hausa,"Ango a al'adar Hausawa yana da alhakin siyan kayan lefe kafin aure, sannan kayan ana kai su gidan amarya ta hannun mata.","Al'adar Hausawa ce inda ango ke siyan kayan amfani masu kyau da tsada a matsayin wata babbar kyauta da zai bawa amaryarsa. Wadannan kyaututtukan ango na gama sayen sune kafin Auren shi, bayan sun gama kammaluwa, sai iyayen Ango kama daga Inna, Gwaggonninsa da sauran su, mata ne suke kai kayan gidan Amarya, Ita kuma Amarya sai iyayen ta mata su karba kayan su dan ba iyayen Ango abinci da dan tukuici. ",supports,supports,supports,True
afrifact_data_culture_igbo_241,igbo,Ụfọdụ ụlọakwụkwọ dị na Beijing na Shanghai emepebeghị dịka ụmụakwụkwọ agaghị akwụkwọ taa,Ụfọdụ ụlọakwụkwọ dị na Beijing na Shanghai emepekwaala dịka ụmụakwụkwọ malitere ịga akwụkwọ taa.,refutes,refutes,refutes,True
afrifact_data_culture_igbo_424,igbo,O bụ ịkọ ọrụ ugbo so na ọrụ ndị mba Brazil dabere na ya isi na-abawanye ọnọdụ akụ na ụba ha ruo ugbu a.,"Mbaise bụ mpaghara dị na Imo Steeti na ndịda ọwụwa anyanwụ . N'etiti , mpaghara ahụ gụnyere ọtụtụ obodo na obodo ukwu. Ndị bi na ya bụ ndị agbụrụ, ndị jikọtara site na alụmdi na nwunye. Mbaise bụ mpaghara kacha nwee ọnụ ọgụgụ mmadụ n'Ebe Ọdịda Anyanwụ Afrịka; ọnụ ọgụgụ ndị bi na ya n'afọ 2006 bụ puku narị isii na iri nà otu, narị abụọ na anọ.",nei,nei,nei,True
